Plant,Plant Description,Storage Location,Storage Location Description,Material Number,MS Code,Material Description,Sales Document,Sales Document Item,Linkage Number,Stock Quantity,Unit,Serial Number,Stock Amount
2Q00,YIL,9002,Receive MFG KD,F9341JP,,O-RING,,0,,240,ST,,7.41
2Q00,YIL,9002,Receive MFG KD,F9341JE,,RING,,0,,"3,300",ST,,31.13
2Q00,YIL,9002,Receive MFG KD,F9341JD,,SPRING,,0,,"4,400",ST,,30.39
2Q00,YIL,9002,Receive MFG KD,F9341JA,,GLASS,,0,,"2,835",ST,,117.85
2Q00,YIL,9002,Receive MFG KD,F9340XZ,,CONNECTOR,,0,,56,ST,,652.28
2Q00,YIL,9002,Receive MFG KD,F9340XX,,CONNECTOR,,0,,"1,120",ST,,446.95
2Q00,YIL,9002,Receive MFG KD,F9340XW,,CONNECTOR,,0,,8,ST,,581.12
2Q00,YIL,9002,Receive MFG KD,F9340XU,,CONNECTOR(KIDNEY),,0,,67,ST,,581.12
2Q00,YIL,9002,Receive MFG KD,F9340WX,,CONNECTOR,,0,,23,ST,,"2,898.93"
2Q00,YIL,9002,Receive MFG KD,F9340TX,,CONNECTOR,,0,,2,ST,,"3,037.55"
2Q00,YIL,9002,Receive MFG KD,F9340SD,,VENT PLUG,,0,,33,ST,,128.97
2Q00,YIL,9002,Receive MFG KD,F9340SB,,VENT PLUG,,0,,"1,500",ST,,136.38
2Q00,YIL,9002,Receive MFG KD,F9340SA,,VENT PLUG,,0,,17,ST,,438.80
2Q00,YIL,9002,Receive MFG KD,F9340NJ,,LABEL,,0,,651,ST,,5.93
2Q00,YIL,9002,Receive MFG KD,F9900SF,,BRACKET,,0,,"1,467",ST,,404.71
2Q00,YIL,9002,Receive MFG KD,F9913VJ,,COVER,,0,,30,ST,,446.95
2Q00,YIL,9002,Receive MFG KD,F9913VS,,METER COVER,,0,,90,ST,,393.59
2Q00,YIL,9002,Receive MFG KD,F9913VA,,TERMINAL COVER,,0,,90,ST,,446.95
2Q00,YIL,9002,Receive MFG KD,F9913TS,,METER COVER,,0,,"4,470",ST,,295.75
2Q00,YIL,9002,Receive MFG KD,F9913TJ,,COVER,,0,,73,ST,,303.90
