PART NO.,PART NAME,QTY,SC,MODEL CODE,OUTPUT,SPAN,MATERIAL,P-CONNECT,BOLT-NUT,INSTALL,HOUSING,E-CONNECT,INDICATOR,BRACKET,OPTION:AND,OPTION:OR,OPTION:NOT,
F9340VM,FLANGE,1,,EJA130E,,,S,"0,1,2",,"-2,-3,-6,-7",,,,,,,,
F9340UJ,FLANGE,1,,EJA130E,,,S,"3,4,5",,"-2,-3,-6,-7",,,,,,,,
F9340RE,FLANGE,1,,EJA130E,,,S,"3,4,5",,-9,,,,"B,J,N",N1,,GS,
F9340UJ,FLANGE,1,,EJA130E,,,S,"3,4,5",,-9,,,,N,,"N2,N3",,
F9340RE,FLANGE,1,,EJA130E,,,S,5,,-8,,,,"B,J,N",GS,,,
F9340RE,FLANGE,1,,EJA130E,,,S,5,,-9,,,,"B,J,N",GS,,N1,
F9340RE,FLANGE,1,,EJA130E,,,S,5,,-9,,,,"B,J,N","GS,N1",,,
F9900WE,FLANGE,1,,EJA440E,,,S,,,"-8,-9,-U",,,,,,,,
F9900WF,FLANGE,1,,EJA440E,,,S,,,"-2,-3,-6,-7",,,,,,,,
F9340VN,FLANGE,1,,"EJA120E,EJA120J",,,S,"0,1,2",,"-2,-3,-6,-7",,,,,,,,
F9340VP,FLANGE,1,,"EJA120E,EJA120J",,,S,"0,1,2",,"-8,-9",,,,,,,,
F9340VQ,FLANGE,1,,"EJA120E,EJA120J",,,S,"3,4,5",,"-2,-3,-6,-7",,,,,,,,
F9340VR,FLANGE,1,,"EJA120E,EJA120J",,,S,"3,4,5",,"-8,-9",,,,,,,"N1,N2,N3",
F9340RC,FLANGE,1,,"EJA120E,EJA120J",,,S,"3,4,5",,-9,,,,"B,J,N",N1,,,
F9340VQ,FLANGE,1,,"EJA120E,EJA120J",,,S,"3,4,5",,-9,,,,N,,"N2,N3",,
F9340TA,FLANGE,1,,"EJA110E,EJA110J",,,W,"0,1,2",,"-8,-9",,,,,,,"N1,N2,N3",
F9340TB,FLANGE,1,,"EJA110E,EJA110J",,,W,"3,4,5",,"-8,-9",,,,,,,"N1,N2,N3",
F9340TC,FLANGE,1,,"EJA110E,EJA110J",,,W,"0,1,2",,"-2,-3,-6,-7",,,,,,,,
F9340TD,FLANGE,1,,"EJA110E,EJA110J",,,W,"3,4,5",,"-2,-3,-6,-7",,,,,,,,
F9900EA,GASCKET,2,,"EJA110E,EJA110J",,"H,M,V","L,S",,,,,,,,,,"GS,HD",
F9900EA,GASCKET,2,,"EJA110E,EJA110J",,"H,M,V","L,S",W,,,,,,,,,"GS,HD",
